comment_text,business,sports,weather,national,international,government
Pakistan Qatar ink four agreements MoU,0,0,0,0,0,0
Asia stocks drop as banking sector concerns smoulder,0,0,0,0,0,1
Five more LNG import pacts to be signed with Qatar Shahid Khaq,0,0,0,0,0,1
Oil prices fall on US storage glut ongoing economic ,0,0,0,1,1,1
Gold eyes best week in 4 years as market turmoil boosts haven ,0,0,0,0,0,0
Annual stipend to BISP beneficiaries raised to Rs18800,0,0,0,0,0,1
Steps afoot to raise GDP level to 7 pc Ishaq Dar,1,0,0,1,1,1
Brent US crude oil edges d,0,0,0,0,0,0
FBR realizes Rs1664 bln revenue till Feb 15,0,0,0,0,0,0
LNG import from Qatar to begin from March MD PSO,0,0,0,0,0,0
Qatar Saudi Russia and Venezuela agree to freeze oil outpu,0,0,0,0,0,0
Asian shares extend gains as investor fears ,0,0,0,1,0,1
Iran says will resist curbs on oil output as part of global ,0,0,0,1,1,0
Oil rebounds on investor optimism over producers d,0,0,0,0,0,0
Oil up 7 percent as Iran welcomes output freez,0,0,0,0,0,1
Asian shares slip from three week high as oil rally rever,0,0,0,0,0,1
Iran aims to increase oil production by 700000 barrels per day,0,0,0,0,0,0
Over 9000MW electricity to be added in national grid by 2017,0,0,0,1,0,0
Asia shares edge ahead with oil pound sli,0,0,0,0,0,0
Ishaq Dar wants timelines for power projects strictly followed,0,0,0,0,0,0
Gold climbs as stock rally fizzles fund inflows suppor,0,0,0,0,0,0
Asian shares oil retreat as Saudi plays down output cu,1,0,0,1,1,0
Asian stocks slip as crude heads sou,0,0,0,0,0,1
Oil prices dip on continued oversupply,0,0,0,1,1,0
Pakistans growth rate will be raised to 5 pc this year Iqb,0,0,0,1,1,0
FBR decides to extend deadline for VTCS,1,0,0,0,0,0
Mobile phone imports reach 433276 mln dollars in Paki,0,0,0,1,1,0
India unveils pro poor budget keeps deficit targ,1,0,0,0,0,1
Asian shares slip after G20 Fed ang,0,0,0,1,1,1
NEPRA cuts power tariff by Rs 411 per uni,0,0,0,1,0,0
Saudi Arabia expected to raise April crude prices to Asi,0,0,0,1,0,0
Gold extends losses on robust US data higher shar,0,0,0,0,0,1
Asia shares scale seven week ,0,0,0,0,0,0
Volkswagen says did not breach market disclosure ru,0,0,0,0,0,0
Oil prices climb after US oil output f,0,0,0,0,0,0
Finance minister chairs meeting to review PIA perfor,0,0,0,1,1,1
Iran expects economic growth above 5 pc in 2016,0,0,0,1,1,0
China says will keep yuan basically stable against basket of currenci,0,0,0,0,0,0
Oil jumps as traders close short positions US producers cut rig cou,0,0,0,1,0,0
NEPRA cuts power tariff by Rs 411 per uni,0,0,0,1,0,0
Saudi Arabia expected to raise April crude prices to Asi,0,0,0,1,0,0
Gold extends losses on robust US data higher shar,0,0,0,0,0,1
Asia shares scale seven week ,0,0,0,0,0,0
Volkswagen says did not breach market disclosure ru,0,0,0,0,0,0
Oil prices climb after US oil output f,0,0,0,0,0,0
Finance minister chairs meeting to review PIA perfor,0,0,0,1,1,1
Iran expects economic growth above 5 pc in 2016,0,0,0,1,1,0
China says will keep yuan basically stable against basket of currenci,0,0,0,0,0,0
Oil jumps as traders close short positions US producers cut rig cou,0,0,0,1,0,0
Asian shares retreat on profit taking oil eyed,0,0,0,0,0,1
Oil prices dip on stronger dollar demand concer,0,0,0,1,1,1
Gold hits 13 month top on firm eur,0,0,0,0,0,0
Chinese investment in Pakistan to create thousands of job opportuniti,1,0,0,0,0,0
Tobacco off Saudi shelves amid price rise speculati,0,0,0,0,0,1
Oil prices stable as market seen bottoming but oversupply linger,0,0,0,1,1,0
Bangladeshs bank governor resigns after 81 mn stolen in cyber hei,0,0,0,1,1,1
Pakistani trade deficit rises to 15102 b,0,0,0,0,0,0
Punjab cuts CNG prices by Rs530 per kg,0,0,0,0,0,0
Oil prices fall as oversupply concerns mount agai,0,0,0,0,0,0
Asia markets slip before BOJ Fed oil sli,0,0,0,1,0,1
Oil rises as US producers struggle inventories may weig,0,0,0,0,0,1
Asia jumps as cautious Fed lifts risk appeti,0,0,0,0,0,0
US oil hits 2016 high on hopes for output freez,0,0,0,0,0,0
Asia stocks turn positive for year dollar sags after Fed,0,0,0,0,0,0
PM approves Strategic Trade Policy Framework 2015 18,1,0,0,1,1,1
Govt announces automotive policy carrying incentives reduced duti,0,0,0,1,1,1
Gold eases but underpinned by weaker dollar,0,0,0,0,0,0
Asian stocks slip as oil skids China u,0,0,0,0,0,0
Stocks fall gold and govt bonds rise after Brussels explosi,0,0,0,0,0,1
Asian shares edge lower as Fed rate talk reviv,0,0,0,1,1,0
Pakistans forex reserves rise to over 20521 billi,0,0,0,0,0,0
US oil falls after big jump in stockpi,0,0,0,0,0,1
Oil steadies as US rig count drop offsets stockpile worry,0,0,0,0,0,1
Dollar North Asia stocks firm on positive US GDP d,0,0,0,0,0,0
Mobile phone import rises by 677 per,0,0,0,0,0,0
Oil prices fall as concerns rise over rally petering ou,0,0,0,0,0,0
OGRA proposes Rs 309 litre hike in petrol pri,0,0,0,0,0,0
ADB cuts Asia growth forecast for 2016 on China global drag,0,0,0,0,0,1
Govt hikes prices of petrol di,0,0,0,0,0,1
McDonalds to add over 1500 outlets in China Hong Kong Kor,0,0,0,0,0,0
Asia stocks edge up to four month high after Wall Street gai,0,0,0,0,0,1
Oil posts best quarter since mid 2015 but glut still worri,0,0,0,0,0,1
Dar calls for Charter of Economy to develop Paki,1,0,0,1,0,1
Indias ITC says to keep cigarette factories shut over health warning ru,0,0,0,1,1,1
Australian tax office probes hundreds for possible tax evasion after Panama ,0,0,0,1,1,0
Customs to raise import prices of tyr,1,0,0,0,0,0
US dealerships owner sues Volkswagen over diesel emissions scand,0,0,0,0,0,0
Asia stocks at three week lows as China worries grow oil u,0,0,0,1,1,0
Oil prices up on US inventory draw but traders warn on premature rally,0,0,0,1,1,0
Asian shares drop as banks come under pressure yen soar,0,0,0,0,0,0
SBP keeps policy rate unchanged at 6 ,1,0,0,1,1,0
Global stocks gain on oil boost dollar fades vs y,0,0,0,0,0,1
Gold climbs to near three week high on safe haven demand,0,0,0,0,0,0
US posts 108 billion budget deficit in Mar,0,0,0,0,0,1
Finance ministers visit to Washington cancelled,0,0,0,0,0,0
Gwadar port almost ready,0,0,0,0,0,1
Oil prices dip but hold above 40 ahead of producer meeting,0,0,0,1,1,0
IMF cuts global growth outlook agai,0,0,0,1,1,1
US government worse than all major industries on cyber security repor,0,0,0,0,0,1
Global diesel demand crumbling warns IEA,0,0,0,1,1,0
China Hong Kong shares firm as export growth raises hopes for GDP,0,0,0,0,0,0
Pakistan Customs proposes 5 to 20 percent duties on imported good,1,0,0,1,0,0
Pakistan seeking access to Swiss bank accou,0,0,0,1,0,1
CPECs first phase to be completed by 2018 Ahsan Iqb,0,0,0,1,0,1
Oil prices tumble 5 percent after producers fail to coordinate outpu,0,0,0,1,1,0
EU mulls crackdown on banks offshore tax advisers after Panama Paper,0,0,0,0,0,0
Asian shares rise on tentative bounce in crude oi,0,0,0,0,0,0
Asia shares touch six month top dollar on defensiv,0,0,0,0,0,0
VW to pay US customers 5000 each to settle dieselg,0,0,0,0,0,0
Oil prices set for one of the biggest weekly rises in 2016,0,0,0,1,1,0
Pakistan gems mineral show kicks off,0,0,0,0,0,1
Sargodha Cases for electricity defaulters forwarded to NAB,0,0,0,1,0,0
Toyota to launch plug in hybrid cars in China in 2018,0,0,0,0,0,0
Saudi king replaces minister for water and electricity,0,0,0,1,0,0
USA Today Tribune Publishing Medi,0,0,0,0,0,0
Oil falls as traders cash in after 3 weeks of gai,0,0,0,0,0,0
Automakers fight for slice of Chinese eco car mar,0,0,0,0,0,1
Gold extends gains as dollar drops ahead of BOJ Fed meeting,0,0,0,0,0,0
Lucky Cement to award power plant contr,0,0,0,1,1,1
Twitter stock plunges after revenue misses esti,0,0,0,0,0,0
Pakistan shares end higher rupee stab,0,0,0,1,0,0
Sunflower ready for harvest in Punjab Paki,0,0,1,0,0,0
Petrol price likely to go up by Rs3 per litre from May 01,0,0,0,0,0,0
Asian shares dollar rise after Fed focus now on BOJ,0,0,0,0,0,1
IMF agrees 15 bn bailout for Sri L,0,0,0,1,1,1
Gold poised for best week in eight on dollar slu,0,0,0,0,0,0
Professional network operator LinkedIns revenue rises 35 ,0,0,0,0,0,0
Facebook hit with lawsuit over plan to issue new ,0,0,0,0,0,0
Iran oil exports to South Korea rise after sanctions lifted,0,0,0,1,1,0
German minister criticizes Volkswagen management over bonuses paper,1,0,0,0,0,0
World Bank approves 1 billion for Paki,0,0,0,0,0,1
Oil prices fall on rising OPEC crude producti,0,0,0,1,1,0
WB approves 1 billion to support economic reforms in Paki,0,0,0,0,0,1
Gold steadies near 15 month peak on softer dollar fund inf,0,0,0,0,0,0
Oil prices dip on rising Middle East supply,0,0,0,1,1,0
Johnson Johnson ordered to pay 55 mln in talc powder tri,0,0,0,0,0,0
Oil stable after two day decline on stall in global gr,0,0,0,1,1,0
K Electric wins Safety Award,0,0,0,1,1,0
Pakistan comes out of dark period Khurram Dastgir,0,0,0,0,0,1
Old design banknotes cease to be legal tender with effect from Dec 1,0,0,0,0,0,1
Pakistan succeeds in growing its apparel industry,0,0,0,0,0,1
Pakistan woos Renault and Nissan in push for auto inv,0,0,0,0,0,1
FBR to introduce modified e filing procedure of Tax retur,1,0,0,0,0,0
Gold struggles as dollar firms ahead of US jobs d,0,0,0,0,0,0
Fresh milk prices increased by Rs5 per litr,0,0,0,0,0,1
Global business growth picked up some speed in Apri,1,0,0,0,0,0
Saudi Arabia says to maintain stable petroleum polici,0,0,0,1,1,0
Problems of rice exporters to be solved Governor Sind,1,0,0,1,0,0
Gold slips as dollar holds firm after US jobs d,0,0,0,0,0,0
Pakistan aim at increasing exports to India to 1bn within a year Dastagir,1,0,0,1,0,1
India inflation50 percent price hi,0,0,0,0,0,0
Pakistan must speed up reform of energy sector World B,1,0,0,0,0,1
Oil prices stable as brimming storage counters supply disrupti,0,0,0,1,1,0
UK employers favour temporary staff over permanent as EU vote near,0,0,0,0,0,0
Dar reaches Dubai for talks with IMF,0,0,0,0,0,0
Smuggling taxes Indian gold impor,0,0,0,0,0,1
dollar dominance global currency,0,0,0,1,1,1
Oil jumps on outag,0,0,0,0,0,0
Say goodbye to OPEC powerful Putin pal predi,0,0,0,0,0,0
IMF 510 million aid tranche Paki,0,0,0,1,1,0
Oil prices fall as Canadian oil sands fields gradually retur,0,0,0,1,1,1
India trademark patent policy global pressur,0,0,0,1,0,1
China asks for WTO resolution for subsidy dispute with US,0,0,0,0,0,0
Italy violin makers struggle profitab,0,0,0,0,0,0
Comic books teach fi,0,0,0,1,0,0
Gold eyes worst week since Mar,0,0,0,0,0,0
Apple invests 1 bln in Chinese ride hailing service Didi Chuxing,1,0,0,0,0,0
Panama airport 575 million bond prob,1,0,0,1,1,0
US bank defends fund transfer after Bangladesh hei,0,0,0,1,1,0
India Iran Halkbank oil pay,1,0,0,1,1,1
India wholesale prices ri,0,0,0,0,0,1
problems G7 finance ministers world,0,0,0,0,0,1
Oil prices rise on Nigeria Venezuela disrupti,0,0,0,1,1,0
Norways wealth fund to sue Volkswagen over emissions scand,1,0,0,0,0,1
Pakistan keen to expand trade and economic cooperation with Portugal NA Speaker,1,0,0,1,0,0
Pakistan shares higher rupee stronger,0,0,0,1,1,0
Gold dollar strength stocks recovery,0,0,0,0,0,0
Oil futures hold near six month hig,0,0,0,0,0,0
Unusual heat bakes Sri Lanka chicken industry,0,0,1,0,0,0
Oil prices remain near 2016 hig,0,0,0,1,1,0
IMF backs Saudi economic ,0,0,1,1,1,1
High food prices challenge India inflation targ,0,0,0,0,0,1
Blue diamond soars world record Christi,0,0,0,1,1,0
Asian stocks gold fall as US hike back on the cards dollar ju,0,0,0,0,0,0
Selfie in the offing Apple boss Modi gold iP,0,0,0,0,0,0
Gold set for biggest weekly drop in two ,0,0,0,0,0,0
India sign Iran port contract Modis tri,0,0,0,0,0,1
Lacking new ideas G7 agree go your own way appr,0,0,0,0,0,1
Oil prices rise as turmoil in Nigeria adds to global supply disrupti,0,0,0,1,1,0
Apple boss Cook meets Modi plot India strategy,1,0,0,0,0,1
Pakistan central bank cuts interest rates growth lag,0,0,0,0,0,0
India pays Iran oil dues Modi visi,0,0,0,0,0,0
IMF researchers say Japan monetary easing has benefits for Asian economi,0,0,0,1,1,1
Abu Dhabi lays off staff Gulf austerity tig,0,0,0,1,1,1
UK PM Cameron warns Brexit drive up food pri,1,0,0,0,0,1
After long dispute London metro run night weekend,0,0,0,0,0,0
Pakistani exhibitors showcase productsBeauty world fair,1,0,0,1,1,1
Pakistan Textile exports decline 77,0,0,0,0,0,0
Pakistan sell 40 percent stock exchange end 2016early 2017,0,0,0,1,1,0
Oil prices dip on strong dollar firm global suppli,0,0,0,0,0,0
Venezuela rejoin global group fighting conflict diamond,0,0,0,1,1,1
India soybean falling farmers switch pu,0,0,0,1,1,0
Oil prices little changed as dollar gains US drawdown ,0,0,0,1,0,0
ECC approves Ramzan relief packag,0,0,0,0,0,0
NBP ICBC signed MoU bilateral cooperation Pakistan Chi,1,0,0,1,1,0
Iran Saudi threatens OPEC deal questi,0,0,0,1,1,0
Gold near 7 week low Fed rate hike pr,0,0,0,0,0,0
Pakistan attract foreign investors invest Gawadar Ahsan Iqb,0,0,0,0,0,1
Oil jumps to near 50,0,0,0,0,0,0
Pakistani traders visit Hou,1,0,0,1,0,0
Daily Mail downgrades outlook print advertising slu,1,0,0,0,0,0
Oil nears 50barrel on inventory data boosting ,0,0,0,0,0,1
Pakistan gold import increases 2134,0,0,0,0,0,0
Oil dips after hitting 50 per barrel US stocks steady,1,0,0,0,0,0
Pakistani manufacturers showcase auto parts US,0,0,0,0,0,0
Oil slips for second day as 50 level sparks new output fear,0,0,0,0,0,0
Mobile phones Step towards a connected futur,1,0,0,0,0,0
Cabinet approves budget 2016 17 pr,0,0,0,1,0,0
NEC meeting approves Rs1675 bn development budg,0,0,0,1,1,1
China bets duty free paradise luxury spenders at ,0,1,0,1,1,1
missiles subs Anil Ambani bets big def,1,0,0,1,1,1
POL prices to remain unchanged,0,0,0,0,0,1
Germany slips out of global competitiveness top 10,1,0,0,0,0,1
Oil prices edge higher in thin trade OPEC eyed,0,0,0,0,0,0
Power shortfall exceeds 6500MW,1,0,0,0,0,1
moot forge closer Pak US businesses bonds begins Thursday,1,0,0,0,0,1
Gold extends gains as dollar Asian stocks ,0,0,0,0,0,0
Economic Survey Pakistan misses GDP targ,0,0,0,0,0,1
Oil prices tread water ahead of OPEC meeting,0,0,0,1,1,0
Rs 587476 mln allocated to step up natural resources explorati,0,0,0,0,0,1
Budget HEC to get Rs 21486487 mln for higher educati,0,0,0,0,0,1
Ishaq Dar unveils budget for 2016 2017,0,0,0,0,0,1
Pakistani budget expected target revenue generation moderate gr,0,0,0,1,1,1
PPA confirms to keep chicken prices up to Rs 145 per Kg,1,0,0,0,0,1
IMF releases bailout cash Sri L,0,0,0,1,1,1
Turkey sinks Airbus jet to boost dive touri,0,0,0,0,0,0
Budget prioritizes agriculture exports development to pr,0,0,0,1,1,1
Saudi economic diversification plan finalised,0,0,0,1,0,1
Saudi Arab reform plan approved top economic counci,1,0,0,1,1,1
Asian shares rise dollar nurses losses after jobs ,0,0,0,0,0,0
India Switzerland pledge tackling tax dodger,1,0,0,0,0,0
US firms increasingly unwelcome in Chi,1,0,0,0,0,1
Asia stocks hit five week hig,0,0,0,0,0,0
Demand of dates increased in Ramaz,0,0,0,0,0,0
World Bank slashes global growth forecast to 24 per,0,0,0,0,0,0
US oil prices end above 50,0,0,0,0,0,1
Oil prices near 2016 hig,0,0,0,1,1,0
Oil exporters must do more to balance budgets IMF,0,0,0,1,1,1
Overseas Pakistani workers remit US1784163m in 11 ,0,0,0,0,0,0
India plans 25 pct tax sugar exports drought bi,0,0,0,1,1,1
After 11 month peak oil prices take a breather,0,0,0,0,0,0
Islamic trade finance body to expand global reach CEO,1,0,0,1,1,0
Pakistani stocks end higher ahead of MSCI annou,0,0,0,1,1,0
Brexit fear factor sends global stocks spinning,0,0,0,0,0,0
SPB introduces modern means ensure new currency notes Eid Paki,0,0,0,0,0,0
Businessman held trying to sell Qadhafis dagger Turkey,1,0,0,0,0,0
Pakistani stocks hit record MSCI upgrad,0,0,0,1,1,0
Pakistans stock market dominates Asia Bloomberg,0,0,0,1,1,0
Pakistan shares higher MSCI annou,0,0,0,1,1,0
Pakistan MSCU historic Ishaq Dar,0,0,0,1,1,1
Pakistan shares higher best weekly gai,0,0,0,0,0,0
Q Mobile reveals its New Refreshed L,0,0,0,1,1,0
Oil rises for first time in seven day,0,0,0,0,0,0
Pakistan on track to end power shortages within two year,1,0,0,0,0,1
Pakistan largest king of fruits Mangos cluster world,0,0,0,0,0,1
rising economy Pakistan hampered image prob,1,0,0,1,1,1
Tokyo stocks open higher on British EU vote optimi,0,0,0,0,0,0
Pakistan Jewellery export ri,0,0,0,0,0,0
Pakistan telecom sector shoot u,1,0,0,1,0,1
Swiss watch industry exports strugg,1,0,0,0,0,0
IMF sees US economy in good shape too many in poverty,0,0,0,1,1,0
World Bank approves 102 bln Pak reforms disaster resili,1,0,0,1,1,1
Ishaq Dar hopes forex reserves cross 22 Bln Ju,0,0,0,0,0,1
State Bank issues guidelines against cyber attacks Paki,0,0,0,0,0,0
Ireland may assist exporters if Brexit occurs Foreign Minister,0,0,0,1,0,1
Kuwait invest solar power projects Paki,0,0,0,0,0,1
World stocks tumble as Britain votes for EU exi,0,0,0,0,0,1
IMF urges smooth transition for UK EU authoriti,0,0,0,1,1,0
Pound Asia markets collapse as Britain quits EU,0,0,0,0,0,0
Pakistan stocks fall 2 pct Brexit volatility,0,0,0,0,0,0
Pound dives as first Britain EU vote results come i,0,0,0,0,0,0
Newly expanded Panama Canal opens for bigger busi,1,0,0,1,1,1
Pakistan drill 116 Oil Gas wells next fiscal year,0,0,0,0,0,1
US stocks plunge on Brexit Dow drops 610 poi,0,0,0,1,1,0
Sterling at lowest since 1985,0,0,0,0,0,1
Artificial jewellery stalls attract visitors ahead Eidul Fitr,0,0,0,0,0,0
Tokyo stocks rebound after Brexit sell off,0,0,0,0,0,0
Bank holiday to be observed on July 1,0,0,0,0,0,0
IMF praises Pakistans commitment fiscal consolidati,1,0,0,1,1,1
Pound edges up after hitting 31 year ,0,0,0,0,0,0
POL prices likely to go up from July 1,0,0,0,0,0,1
Global stocks gain as Brexit nerves ,0,0,0,0,0,0
Sterling rises for second day market eyes Brexit politi,0,0,0,0,0,0
ADB approves 600m loan for Pakistan structural refor,1,0,0,1,1,1
Pakistans cotton imports record highs output dwind,0,0,1,0,0,1
World Bank approves 200 million credit Balochi,0,0,0,1,1,0
Sweet shops enjoying Eid season Paki,1,0,0,0,0,0
Tokyo stocks rally in opening trad,0,0,0,0,0,0
Third of Britons to tighten belts over Brexit ,0,0,0,0,0,0
POL prices to remain unchanged for July,0,0,0,0,0,1
Wal Mart heirs again top Forbes list 25 richest US famili,0,0,0,0,0,0
Giant diamond fails sell at auction trade interested,0,0,0,0,0,0
Mobilink Warid merger transaction completed,1,0,0,1,0,0
Tax target achieved foreign exchange reserves cross 23bln mark Dar,0,0,0,0,0,0
Smartphone flourishing Pakistan reasonable gr,0,0,0,0,0,0
Asian factories struggle Brexit throws up new thr,0,0,0,0,0,1
FPCCI cooperate tackling Brexit challeng,1,0,0,0,0,1
German new car sales rise in June d,0,0,0,0,0,0
Gold eases off near 2 year high silver crosses 21oz,0,0,0,1,1,0
Pound tests new 31 year low vs dollar,0,0,0,0,0,0
CPEC projects generate 2mln job,1,0,0,0,0,1
Pound hits fresh lows as Brexit impact worries surg,0,0,0,0,0,0
IMF needs better serve globalization loser,0,0,0,1,1,0
Raisin cash Japan grapes fetch 10900 aucti,0,0,0,0,0,0
Myanmars state jade sale rakes 530 million Eur,0,0,0,0,0,1
Smartphones lift Samsung Electronics to best profit in over 2 year,1,0,0,0,0,0
Time for vigilance against measures hamper trade WTO,0,0,0,0,0,0
Falling pound boon British touri,0,0,0,1,1,0
Hong Kong stocks edge back down at ,0,0,0,0,0,0
US economy looks strong with 287000 jobs added in Ju,1,0,0,0,0,1
G20 nations pledge to boost trade despite growing protectioni,0,0,0,0,0,0
Pakistan shares end higher erase Brexit ,0,0,0,1,1,0
Gold slips Brexit tensions ease stocks rally,0,0,0,0,0,0
Tokyo shares open higher on weaker yen stimulus ,0,0,0,0,0,0
Petroleum group import reduces 362111 months Paki,0,0,0,1,1,0
Qatar hotel shaped desert flower,1,0,0,0,0,0
Price spike dulls golds lustre Indian buyer,1,0,0,0,0,1
Pakistan importing RON 92 standard petrol October,0,0,0,0,0,1
Overseas remittances rise 638 to US 199 billion FY16,0,0,0,0,0,0
Pakistan State Bank old design banknotes demonetized Dec 31,0,0,0,0,0,1
Asian shares rise Europe subdued Nice ,0,0,0,0,0,1
Pakistan 35 billion exports target boost industry,1,0,0,0,0,1
Turkish lira rallies crashing wake of cou,0,0,0,0,0,1
FBR meetings stakeholders immovable property valuati,0,0,0,0,0,1
EU takes China to WTO over export curb,0,0,0,1,1,1
Nintendos market cap doubles to 42 billion since Pokemon GO lau,0,0,0,0,0,0
Indian temple accepts stock market shares donati,0,0,0,0,0,0
Gold glisters diamonds hedge the ri,0,0,0,1,1,0
Microsoft returns to profit one year after big ,0,0,0,0,0,0
Pakistan top emerging economy among South Asian markets AMC,0,0,0,1,1,1
Gold drops three week low investors equiti,0,0,0,0,0,0
Car production 2157 LCVs increases 3565 11 ,0,0,0,0,0,0
Pakistan Textile exports post 742 decline FY 16,0,0,1,0,0,0
Hong Kong Shanghai stocks open lower,0,0,0,0,0,0
IMF urges key G20 countries spend gr,1,0,0,1,1,1
Pound continues slide on forex mar,0,0,0,0,0,0
G20 nations warn of Brexit risk to global gr,0,0,0,1,1,0
Oil prices extend losses supply worri,0,0,0,0,0,0
Tokyo stocks open higher on BoJ stimulus ,0,0,0,0,0,0
US consumer confidence steady in July,1,0,0,0,0,0
India US Indian Ocean natural gas discovery,0,0,0,0,0,0
US Ambassador rings trading bell Stock Exchang,1,0,0,1,1,0
PSO receivables surge over Rs 146 billi,0,0,0,0,0,1
Ishaq Dar expresses resolve goodbye IMF,0,0,0,1,1,1
Pakistan Turkey agree pursue free trade agreement negotiati,0,0,0,0,0,1
Boeings iconic 747 era could come to an end,1,0,0,0,0,0
Bezos passes Buffett becomes third richest person Forb,1,0,0,0,0,0
PIA signs contact lease three A 330s Sri L,0,0,0,1,1,0
Government decides against raising petroleum pri,0,0,0,0,0,1
State Bank keeps policy interest rate 575 ,0,0,0,0,0,0
Pakistan stocks end record hig,0,0,0,1,0,0
Pakistan will be among top 10 emerging markets from Asia BMI,1,0,0,1,1,0
Pakistan Jewellary exports up 29 FY16,0,0,0,0,0,0
Tokyo stocks open lower after BoJ under,0,0,0,0,0,0
FBR issues immovable property valuation tables for major citi,1,0,0,0,0,0
Coup costsTurkey economy 100 billion minister,0,0,0,0,0,1
PSO received Rs 293 bln payment against Rs 308 bln supplies16 ,0,0,0,0,0,1
Pakistan IMF successfully complete last review Ishaq Dar,0,0,0,1,1,1
Fast beauty Korean cosmetics shine China draw investor,0,0,0,0,0,0
IMF release final instalment 66 bn loan Paki,0,0,0,1,1,1
Tokyo stocks rise in early trade on weaker yen Toyota soar,0,0,0,0,0,0
Pakistan stocks end record hig,0,0,0,1,0,0
Pakistan will be among top 10 emerging markets from Asia BMI,1,0,0,1,1,0
Pakistan Jewellary exports up 29 FY16,0,0,0,0,0,0
Tokyo stocks open lower after BoJ under,0,0,0,0,0,0
FBR issues immovable property valuation tables for major citi,1,0,0,0,0,0
Coup costsTurkey economy 100 billion minister,0,0,0,0,0,1
PSO received Rs 293 bln payment against Rs 308 bln supplies16 ,0,0,0,0,0,1
Pakistan IMF successfully complete last review Ishaq Dar,0,0,0,1,1,1
Fast beauty Korean cosmetics shine China draw investor,0,0,0,0,0,0
IMF release final instalment 66 bn loan Paki,0,0,0,1,1,1
Tokyo stocks rise in early trade on weaker yen Toyota soar,0,0,0,0,0,0
Strong US July jobs numbers a likely boost for Cli,1,0,0,0,0,1
Oil rises on fresh calls for production freez,0,0,0,1,1,0
Flight bookings Britain rise Brexit weakens pound,0,0,0,1,1,0
Summer season brings boost business PTDC M,1,0,0,0,0,0
Tokyo stocks track Wall Street rally at ,0,0,0,0,0,0
Iran auction property death row ty,0,0,0,1,1,0
Sale of CNG in litres illegal in Sindh OGRA,0,0,0,0,0,0
Tokyo stocks down at ,0,0,0,0,0,0
Arianna Huffington leave Huffington P,0,0,0,0,0,0
Swiss court backs Iran decades old oil row Isr,0,0,0,0,0,0
Dubai plane crash survivor hits 1m j,0,0,0,0,0,0
Sales Tax initiatives check huge tax evasi,1,0,0,1,0,1
Oil prices surge on Saudi ministers talk of possible acti,0,0,0,0,0,0
CNG supply resumes Sindh three day long stri,0,0,0,0,0,1
Pakistan ready walk right directions TPL M,1,0,0,0,0,1
Modi hails sweeping reforms Indias fast gr,1,0,0,1,1,1
Tokyo stocks under pressure on weak Japan GDP,0,0,0,0,0,0
Pakistan Stock Exchange ends all time hig,0,0,0,0,0,0
Oil halts rally market weighs chance output freez,0,0,0,0,0,0
British shoppers begin feel post Brexit pi,0,0,0,0,0,0
Tokyo stocks up in early trade despite global ,0,0,0,0,0,0
Ever wanted track where fish comes from Now you ,0,0,0,1,1,1
Oil dips Asia Saudi Arabia output boost repor,0,0,0,0,0,0
Pakistan stocks end record hig,0,0,0,1,0,0
Pakistan will be among top 10 emerging markets from Asia BMI,1,0,0,1,1,0
Pakistan Jewellary exports up 29 FY16,0,0,0,0,0,0
Tokyo stocks open lower after BoJ under,0,0,0,0,0,0
FBR issues immovable property valuation tables for major citi,1,0,0,0,0,0
Coup costsTurkey economy 100 billion minister,0,0,0,0,0,1
PSO received Rs 293 bln payment against Rs 308 bln supplies16 ,0,0,0,0,0,1
Pakistan IMF successfully complete last review Ishaq Dar,0,0,0,1,1,1
Fast beauty Korean cosmetics shine China draw investor,0,0,0,0,0,0
IMF release final instalment 66 bn loan Paki,0,0,0,1,1,1
Tokyo stocks rise in early trade on weaker yen Toyota soar,0,0,0,0,0,0
Strong US July jobs numbers a likely boost for Cli,1,0,0,0,0,1
Oil rises on fresh calls for production freez,0,0,0,1,1,0
Flight bookings Britain rise Brexit weakens pound,0,0,0,1,1,0
Summer season brings boost business PTDC M,1,0,0,0,0,0
Tokyo stocks track Wall Street rally at ,0,0,0,0,0,0
Iran auction property death row ty,0,0,0,1,1,0
Sale of CNG in litres illegal in Sindh OGRA,0,0,0,0,0,0
Tokyo stocks down at ,0,0,0,0,0,0
Arianna Huffington leave Huffington P,0,0,0,0,0,0
Swiss court backs Iran decades old oil row Isr,0,0,0,0,0,0
Dubai plane crash survivor hits 1m j,0,0,0,0,0,0
Pakistan stocks end record hig,0,0,0,1,0,0
Pakistan will be among top 10 emerging markets from Asia BMI,1,0,0,1,1,0
Pakistan Jewellary exports up 29 FY16,0,0,0,0,0,0
Tokyo stocks open lower after BoJ under,0,0,0,0,0,0
FBR issues immovable property valuation tables for major citi,1,0,0,0,0,0
Coup costsTurkey economy 100 billion minister,0,0,0,0,0,1
PSO received Rs 293 bln payment against Rs 308 bln supplies16 ,0,0,0,0,0,1
Pakistan IMF successfully complete last review Ishaq Dar,0,0,0,1,1,1
Fast beauty Korean cosmetics shine China draw investor,0,0,0,0,0,0
IMF release final instalment 66 bn loan Paki,0,0,0,1,1,1
Tokyo stocks rise in early trade on weaker yen Toyota soar,0,0,0,0,0,0
Strong US July jobs numbers a likely boost for Cli,1,0,0,0,0,1
Pakistan stocks end record hig,0,0,0,1,0,0
Pakistan will be among top 10 emerging markets from Asia BMI,1,0,0,1,1,0
Pakistan Jewellary exports up 29 FY16,0,0,0,0,0,0
