text,l1,l2,l3
Stanley Jones (24 March 1888 â€“ 9 March 1962) was a British cyclist. He competed in two events at the 1912 Summer Olympics.,Agent,Athlete,Cyclist
"The 2012â€“13 Saudi Crown Prince Cup was the 38th season of the Saudi premier knockout tournament for football teams. This season's competition featured a total of 16 teams, 14 teams of Pro league, and 2 teams of 1st Division. Al-Hilal won their sixth Crown Prince Cup title in a row and twelfth in total after beating Al-Nassr 4â€“2 on penalties in the final.",Event,Tournament,SoccerTournament
"Homework is the debut studio album by the French electronic music duo Daft Punk, released on 7 January 1997 by Virgin Records and Soma Quality Recordings. The album revived house music and departed from the Eurodance formula. The duo produced the tracks without plans to release an album. After working on projects that were intended to be separate singles over five months, they considered the material good enough for an album. Homework's success brought worldwide attention to French house music. Homework charted in 14 different countries, peaking at number 3 on the French Albums Chart, number 150 on the United States Billboard 200 and at number 8 on the UK Albums Chart. By February 2001, the album had sold more than two million copies worldwide and received several gold and platinum certifications. Overall, Homework received positive critical response. The album features singles that had significant impact in French house and global dance music scenes, including the U.S. Billboard Hot Dance/Club Play number-one singles \""Da Funk\"" and \""Around the World\"", the latter of which reached number 61 on the Billboard Hot 100.",Work,MusicalWork,Album
"Cristoforo Savolini (1639â€“77) was an Italian painter of the Baroque period, active in the region near Pesaro and his native town of Cesena. A student of the Caravaggio-inspired Cristoforo Serra, he was inspired by Guercino and Guido Cagnacci. One of his patrons was the Cesenese Ludovico Ugolini. He painted the altarpiece of San Donnino in the church of San Domenico in Cesena.",Agent,Artist,Painter
"The Diocese of Erfurt is a diocese of the Catholic church in Germany. The diocese was erected in 1973 as the apostolic administration of Erfurt-Meiningen, and was elevated in 1994 to the current diocese of Erfurt. The diocese is a suffragan of the Archdiocese of Paderborn. After the former bishop Joachim Wanke resigned in 2012 the diocese was without bishop until November 2014 when Ulrich Neymeyr took office. Neymeyr served as auxiliary bishop in the Diocese of Mainz before being appointed as bishop of Erfurt.",Place,ClericalAdministrativeRegion,Diocese
"Bairnsdale Airport (IATA: BSJ, ICAO: YBNS) is located 4 nautical miles (7.4 km; 4.6 mi) south west of Bairnsdale, Victoria, Australia, off the Princes Highway. It was originally RAAF Station Bairnsdale, which was a training establishment formed during World War II. No. 1 Operational Training Unit (1OTU) and the General Reconnaissance School (GRS) were based there during the war years.",Place,Infrastructure,Airport
"\""Hard out Here\"" is a song by English recording artist Lily Allen. The song was released on 17 November 2013 as the lead single from Allen's third studio album Sheezus and is Allen's first original solo recording since 2010. Allen wrote the song in collaboration with Greg Kurstin, with the song's production handled by the latter. Musically, \""Hard out Here\"" is a synthpop song with lyrics revolving around \""body image pressures and misogyny in the entertainment industry.\"" \""Hard out Here\"" was critically acclaimed; many critics praised its lyrical content and praised Allen's take on the industry, dubbing the song a \""feminist anthem through and through\"". According to The Wire, the title is a \""thinly veiled reference\"" to Three 6 Mafia's Academy Award-winning 2005 song \""It's Hard out Here for a Pimp\"". The song topped the Austrian charts and charted within the top ten in the U.K., Germany and Switzerland To promote the song, Allen performed at YoYos pod in London. The music video for the song was directed by Christopher Sweeney and premiered on Allen's website on 12 November 2013. The video depicts Allen receiving liposuction and twerking. The video received positive reviews from most critics, but also sparked minor controversy over the ethnicity of the backing dancers.",Work,MusicalWork,Single
"The Parliament of the Balearic Islands (Spanish: Parlament de les Illes Balears) is the unicameral autonomous parliament of the Balearic Islands, one of the autonomous communities of Spain. The Parliament, composed of 59 elected seats, is located in the city of Palma, on the island of Majorca. In the 2015 Balearic parliamentary election the People's Party (PP) lost its majority, falling to 20 seats in the legislature. Following this, a PSOE and MÃ©s government was installed with the support of Podemos.",Agent,Organisation,Legislature
The Roman Catholic Diocese of San Bernardo (Latin: Sancti Bernardi) is a diocese located in the city of San Bernardo in the Ecclesiastical province of Santiago de Chile in Chile.,Place,ClericalAdministrativeRegion,Diocese
"Sir Charles Nicholson, 1st Baronet (23 November 1808 â€“ 8 November 1903) was an English-Australian politician, university founder, explorer, pastoralist, antiquarian and philanthropist. The Nicholson Museum at the University of Sydney is named after him.",Agent,Politician,MemberOfParliament
"The Malay Heritage Centre (Malay: Taman Warisan Melayu) is a cultural centre and museum in Singapore that showcases the culture, heritage and history of Malay Singaporeans. Located at Sultan Gate in Kampong Glam, the 8,000 square metres (86,000 sq ft) centre was launched on 27 November 2004. The building was once the Istana Kampong Glam (or the Sultan's Palace), and was part of a larger original compound that led to the Beach Road frontage. Sultan Gate has been known as such since the 1950s. The Malay Heritage Foundation, formed on 28 July 1999, embarked on a major restoration project of the Istana Kampong Glam that year. The building reopened as the Malay Heritage Centre in 2004 after construction works were completed. On the grounds of the Malay Heritage Centre are Gelam trees, a replica of a Bugis prahu boat, the Pinisi, and information markers on the history of the Bugis people and their trade. The centre itself preserves and showcases Malay culture and heritage in Singapore through historic artefacts, multimedia and diorama displays, and exhibits. The centre also organizes Malay cultural programmes and workshops. Before 2008 these, together with other fund-raising activities, contributed two-thirds of the centre's operational costs. In 2008, the Government of Singapore announced that it would provide full funding of S$1.7 million a year to the Centre, instead of just the one-third funding provided in previous years. The funding, and additional aid from the National Heritage Board, is expected to give the centre a boost to become a museum of international standard, and create opportunities for it to work with other top regional museums in Indonesia and Malaysia. In August 2011 the Malay Heritage Centre was closed for extensive renovations. It reopened on 1 September 2012.",Place,Building,Museum
"Kusada is a Local Government Area in Katsina State, Nigeria. Its headquarters are in the town of Kusada. The major ethnic groups are Hausa and Fulani. Its major Villages includes: Dudunni, Dangamau, Yashe, Mawashi, kofar, Kaikai. The people of Kusada local government are mostly farmers and herdsmen. Their standard of living is well improved as the government had since provided them with social amenities such as, Schools, Hospitals, good tarred roads, boreholes (both manual and solar system), farm boreholes, dams, well organized local markets etc. Both Government burden and day Secondary and Primary Schools, are located in the Town and some major villages in the local government. The local government is also characterized with government residential area, beautiful jumu'at mosques, good township roads and well named and numbered streets. It has an area of 390 kmÂ? and a population of 199,267 at the 2006 census. The postal code of the area is 833.",Place,Settlement,Town
"Jumabek Ibraimov (?–Ñƒ???°?±?µ?º ?˜?±Ñ€?°?¸???????¸Ñ‡ ?˜?±Ñ€?°?¸??????) (1 January 1944 â€“ 4 April 1999) was a Kyrgyz politician. Born in Dzhany-Alysh of Kemin District he graduated from Frunze Polytechnic Institute in 1971. He was a post-graduate student and worked as a teacher until mid-70s. In 1976 - 1977 he worked as an engineer and the head of the department of technology at the Agricultural Machinery Works named after M.V.Frunze, and in 1977 - 1984 as a design engineer, head of engineering department, chief engineer, and director of Min-Kush branch of Orgtehnika factory. In 1984 he became a head of People's Control Commission, and the First Secretary of Balykchy Town Committee of Communist Party. In 1988 - 1991, Jumabek Ibraimov served as a First Deputy of a Head of Administration of Central Committee of Communist Party of Kyrgyzstan. He served as the Mayor of Bishkek from 1993-1995. President of Kyrgyzstan Askar Akayev appointed him Prime Minister on 25 December 1998 after Akayev dissolved the Cabinet. Ibraimov served until he died of stomach cancer on 4 April 1999.",Agent,Politician,PrimeMinister
Hypoctonus is a genus of arachnids belonging to the family Thelyphonidae.,Species,Animal,Arachnid
"Genichiro Shimada (å¶‹ç”° æºêä¸€éƒ? Shimada Gen'ichirÅç, born February 2, 1950), better known as Genichiro Tenryu (å?©é?ç æºêä¸€éƒ? TenryÅ« Gen'ichirÅç) is a retired Japanese professional wrestler. At age 13, he entered sumo wrestling and stayed there for 13 years, after which he turned to Western-style professional wrestling. \""Tenryu\"" was his shikona.",Agent,Wrestler,SumoWrestler
"Lakeland Airlines (IATAâ€”YQ) was founded in 1980 in Rice Lake, Wisconsin. It served at various times 11 cities, with commuter service to Minneapolis (MSP), Superior (SUW) Ashland (ASX) Hayward (HYR) Rice Lake (RIE) Eau Claire (EAU) Madison (MSN) Milwaukee (MKE) Chicago (ORD) Wisconsin Rapids (ISW) and Rhinelander (RHI). The Fleet consisted of Cessna 402s and de Havilland Canada DHC-6 Twin Otters. Lakeland ceased service in 1984.",Agent,Company,Airline
Oreophryne geminus is a species of frog in the Microhylidae family.It is endemic to Papua New Guinea.Its natural habitat is subtropical or tropical high-altitude grassland.,Species,Animal,Amphibian
"Kelsey Martinovich (born 27 November 1990) is an Australian model, best known for being the runner up in the sixth cycle of Australia's Next Top Model where she was accidentally announced the winner first by host Sarah Murdoch. Kelsey was covered on Harper's Bazaar Australia Magazine after she was announced the winner first. The editor decided to publish half the November issue with winner Amanda Ware and half with Kelsey Martinovich.",Agent,Person,Model
"JosÃ© Guillermo Tormos Vega (February 23, 1925), known as JoselÃ?n, was a Puerto Rican politician and Mayor of Ponce, Puerto Rico from 1976 to 1984.",Agent,Politician,Mayor
"TjÃ¥rdavatnet or KjÃ¥rdavatnet (Northern Sami: ÄŒoaÄ‘gejÃ¡vri) is a lake that is located on the border of Norway and Sweden. The Norwegian side lies in the municipality of Narvik in Nordland county and the Swedish side lies in GÃ?llivare Municipality in Norrbotten County. The lake has an area of about 3.63 square kilometres (1.40 sq mi), with 3.5 square kilometres (1.4 sq mi) being in Norway, the tiny remainder is in Sweden.",Place,BodyOfWater,Lake
"Segue 2 is a dwarf spheroidal galaxy situated in the constellation Aries and discovered in 2009 in the data obtained by Sloan Digital Sky Survey. The galaxy is located at the distance of about 35 kpc (35,000 parsecs (110,000 ly)) from the Sun and moves towards the Sun with the speed of 40 km/s. It is classified as a dwarf spheroidal galaxy (dSph) meaning that it has an approximately round shape with the half-light radius of about 34 pc. Segue 2 is one of the smallest and faintest satellites of the Milky Wayâ€”its integrated luminosity is about 800 times that of the Sun (absolute visible magnitude of about âˆ’2.5), which is much lower than the luminosity of the majority of globular clusters. However, the mass of the galaxyâ€”about 550,000 solar massesâ€”is substantial, corresponding to the mass to light ratio of about 650. The stellar population of Segue 2 consists mainly of old stars formed more than 12 billion years ago. The metallicity of these old stars is also very low at [Fe/H] < âˆ’2, which means that they contain at least 100 times less heavy elements than the Sun. The stars of Segue 2 were probably among the first stars to form in the Universe. Currently, there is no star formation in Segue 2. Segue 2 is located near the edge of Sagittarius Stream and at the same distance. It may once have been a satellite of Sagittarius Dwarf Elliptical Galaxy or its star cluster. In June 2013 the The Astrophysical Journal reported that Segue 2 was bound together with dark matter. Circa 1 000 stars are supposed to exist within the galaxy.",Place,CelestialBody,Galaxy
"Gallagher v. Crown Kosher Super Market of Massachusetts, Inc., 366 U.S. 617 (1961), is a United States Supreme Court case that declared that a kosher butcher store had to abide by the state laws that banned them from selling on Sunday.",UnitOfWork,LegalCase,SupremeCourtOfTheUnitedStatesCase
"Avicularia metallica (whitetoe tarantula) is a relatively docile species of tarantulas.Avicularia metallica is considered by some to be a communal species. Cannibalism, while still a concern when kept communally, is less problematic compared to other Theraphosidae.",Species,Animal,Arachnid
"Ocean House is a large, Victorian-style waterfront hotel originally constructed in 1868 on Bluff Avenue in the Watch Hill historic district of Westerly, Rhode Island. The original 1868 hotel closed in 2003, was demolished in 2005 and a new facility in heavily revised form opened in 2010 on the same site, retaining much of the original structure's form as well as the original name. Both the original and its reconstruction are noted for a their rambling Victorian architecture and distinctive yellow siding. At the time of its closing, the original Ocean House was the last waterfront Victorian Era hotel on mainland Rhode Island.",Place,Building,Hotel
"Francisco Cuervo y ValdÃ©s (1615â€“1714) was a Spanish politician who ruled Nuevo Leon, Coahuila (1698â€“1703), Texas (1698â€“1702) and New Mexico (1704â€“1707).",Agent,Politician,Governor
"Nilwande dam, also called as Upper Pravara dam, in the Indian state of Maharashtra is the second largest dam on the Pravara river. The dam is located near Akole, Ahmednagar district.",Place,Infrastructure,Dam
"Project A-ko 3: Cinderella Rhapsody (ãƒ—ãƒ?ã‚¸ã‚§ã‚¯ãƒˆAå?ê3 ã‚·ãƒ?ãƒ‡ãƒ¬ãƒ©ãƒ©ãƒ—ã‚?ãƒ‡ã‚£ Purojekuto A-Ko 3 - Shindorera Rapusodei) is the third Project A-ko movie. It is shorter in length than the second, and it serves as a prelude to \""Project A-ko 4: Final.\""",Work,Cartoon,Anime
"The eastern spotted gummy shark (Mustelus walkeri) is a species of houndshark in the Triakidae family, found in Australian waters. This new species of gummy sharks is a relatively large species with the following characteristics: tall dorsal fins, its posterior margin directed posteroventrally from top to bottom and not upright distally, first dorsal-fin base is 1.6-2.0 times the anal-caudal space; buccopharyngeal denticles cover entire palate and floor of mouth; long claspers of adult males are slender, strongly depressed, the inner length about 9-10% TL, extending to just anterior of the second dorsal-fin origin; lower edge of spiracle is usually close to level of mid-eye; insertion of anal-fin usually over its apex; about 69/73 teeth rows; 78- 94 precaudal vertebral centra; 35-39 monospondylous centra; dorsal color pale greyish with numerous small, often indistinct, semi-regular, diffuse-edged white spots on postspiracular head and body; light and dark tonal coloration well demarcated on head below eye and onto middle of first gill slit, the intergill membranes are much darker dorsally than ventrally; bases and inner lobe of dorsal fins in juveniles (<400 mm TL) not strongly contrasted to distal part of fin, inner lobe is pale-edged; juveniles have caudal fin with distinctive whitish posterior margins.",Species,Animal,Fish
"Alfonso Rebochong Oiterong (born October 9, 1924) was a politician from Palau who served as the country's Vice-President from 1981 to 1985. He was President from 2 July to 25 October 1985.",Agent,Politician,President
"The Pa Sak River (Thai: à?Åà¸¡à?ˆà¸™à?‰à¸?à¸›à?ˆà¸?à¸ªà¸±à¸Å, rtgs: Maenam Pa Sak, IPA: [mÉ›Ì‚ËênÃ¡Ëêm pÃ Ëê sÃ k], Pronunciation) is a river in central Thailand. The river originates in the Phetchabun Mountains, Dan Sai District, Loei Province, and passes through Phetchabun Province as the backbone of the province. It then passes through the eastern part of Lopburi Province and Saraburi Province, until it joins together with the Lopburi River northeast of Ayutthaya Island, before it runs into the Chao Phraya River southeast of Ayutthaya near Phet Fortress. It has a length of 513 km (319 mi) and drains a watershed of 16,291 km2 (6,290 sq mi). The annual discharge is 2.4 km3 (0.58 cu mi). The valley of the Pa Sak through the Phetchabun mountains is the main part of Phetchabun Province. As the watershed of the river is rather narrow, the amount of water in the river varies seasonally. To address drought problems in the lower Pa Sak valley, in 1994 the construction of the Pa Sak Cholasit Dam (à?€à¸‚à¸·à?ˆà¸?à¸™à¸›à?ˆà¸?à¸ªà¸±à¸Åà¸?à¸¥à¸ªà¸´à¸—à¸˜à¸´à?Œ) in Lopburi Province was built. The 4,860-meter (15,940 ft) wide and 36.5-meter (120 ft) high dam keeps a total of 0.785 km3 (0.188 cu mi) of water. The dam also supplies about 6.7 MW of hydro-electric power.",Place,Stream,River
"Bernard F. \""Bunny\"" Oakes (September 15, 1898 â€“ October 22, 1970) was an American football player and coach. He served as the head football coach at the University of Montana (1931â€“1934), the University of Colorado at Boulder (1935â€“1939), the University of Wyoming (1941â€“1946), and Grinnell College (1947â€“1948), compiling a career college football record of 43â€“69â€“4.",Agent,Coach,CollegeCoach
"The Milwaukee Air & Water Show is a free airshow held annually along the lakefront in downtown Milwaukee, Wisconsin. It is billed as \""the largest two-day event in Wisconsin,\"" with an attendance of almost 1,000,000 people in 2012. A predecessor to the airshow was first held at Festa Italiana in 2002 to celebrate its 25th anniversary. TCF Bank joined as the title sponsor and the Milwaukee Air & Water Show staged its first event at Veterans Park in 2004. In 2005 the Navy's Blue Angels returned to Milwaukee after six years and in 2006, the Air Force's Thunderbirds performed. The show featured many of the aviation industry's top acrobatic performers, including the U.S. Army's Golden Knights parachuting team and the Red Baron Pizza stunt flying team. After a successful return of the air show and the USAF Thunderbirds in 2009, The air and water show continues under the leadership of President Paul A. Rogers, and Air Show Director Rudy Malnati, the most respected air show professional in the industry today. Mr. Malnati was also involved in the first air show in Milwaukee at General Mitchell Field in the 1970s, when the event was known as the \""Berndt Buick Milwaukee Air Show.\"" Lee Berndt, owner of the Buick dealership in Milwaukee, started the event, and also organized the first ICAS (International Council of Air shows) meeting in his garage in Milwaukee. ICAS is now the leading support organization for the air show industry. The USN Blue Angels returned in 2010. In 2011, the Air Force's Thunderbirds returned. The 2012 Air & Water Show, held on August 12th and 13th, featured - among others - the F22 Raptor, and the MV-22 Osprey \""Tilt-Rotor\""Demo Team. November 13, 2014: Milwaukee Air & Water Show forms board of directors",Event,SocietalEvent,Convention
The 1976â€“77 Magyar Kupa (English: Hungarian Cup) was the 37th season of Hungary's annual knock-out cup football competition. The Finals were played in a round-robin tournament format.,Event,Tournament,SoccerTournament
"Justin Cox is an American football safety for the Saskatchewan Roughriders of the Canadian Football League (CFL). Cox played college football for East Mississippi Community College before enrolling at Mississippi State. He was a reserve cornerback in 2013 season, in which he recorded 31 tackles and an interception in the Bulldog's overtime Egg Bowl victory over Ole Miss. Cox was the starting safety for the Bulldogs in 2014. He did not play in the final three games after being arrested for domestic violence. The charge was dropped when Cox plead guilty to a lesser charge. Cox went undrafted in the 2015 NFL Draft, but signed a free agent contract with the Kansas City Chiefs soon after. On July 21, 2015, Cox was released following an arrest for domestic violence.",Agent,GridironFootballPlayer,AmericanFootballPlayer
"Mario Party 8 is a party video game, the eighth installment in the Mario Party series, and the first title in the series to be released for the Wii. It is also the first Mario Party title to have the ability to use Mii characters. It was originally released in the United Kingdom on July 13, 2007. However, some retailers were reporting that it was supposedly withdrawn from shelves because some copies included the word \""spastic\""; it was eventually re-released in the United Kingdom on August 3, 2007. Mario Party 8 is followed by Mario Party DS in late 2007, and Mario Party 9 in March/April 2012. Like previous Mario Party titles, Mario Party 8 features Mario series characters in which four human- or computer-controlled characters compete in a board game interspersed with minigames, and was developed by Hudson Soft and published by Nintendo. Mario Party 8 received mixed reviews. Despite some of the mixed reviews, after its release, the game sold 314,000 units in the United States in three days, making it the best-selling home console game in the country that month. As of May 2010, the game has sold 7.6 million copies worldwide and ranked at #10 on the best-selling Wii games list.",Work,Software,VideoGame
"John Epping (born March 20, 1983 in Peterborough, Ontario) is a Canadian curler from Toronto. Epping was a top junior curler, having won the Ontario Junior championship in 2004. At the 2004 Canadian Junior Curling Championships, his team finished with an 8-4 record, just out of the playoffs. He won the 2006 Canadian Mixed Curling Championship with Julie Reddick, Scott Foster and Leigh Armstrong. He won the 2007 provincial mixed as well, but could not defend his national title. After Juniors, Epping played third for Nick Rizzo until switching positions with Rizzo in 2006, and thus skipping the team. However, in 2007 he was picked up to play third for Olympic silver medalist Mike Harris. He'd only play one season for Harris before joining Wayne Middaugh's rink at second in 2008. With the Middaugh rink Epping won the 2008 National, his first Grand Slam victory. The team also played in the 2009 Canadian Olympic Curling Trials, where they finished with a 2-5 record. In 2010, Epping parted from Middaugh to form his own team. Epping won the 2012 Players' Championship, his second Grand Slam title of his career, and his first as skip. This win helped him accrue enough CTRS points to qualify for a direct spot at the 2013 Canadian Olympic Curling Trials. At the Trials, his rink won just one game, and finished last. In the 2016 Ontario Men's Tankard, Epping's team would go 8-2 through the round robin, but lose to Glenn Howard in the final.",Agent,WinterSportPlayer,Curler
"Moritz Lewitt (12 August 1863 â€“ 1 April 1936) was a German chess master. Born in PoznaÅ„, Greater Poland (then Kingdom of Prussia), he lived in Berlin, and was the longtime president of the oldest German Chess Club, the Berliner Schachgesellschaft von 1827. When he was reelected in 1904, the club was also the largest in Germany, with over 150 members. Dr. Lewitt played in many tournaments in Berlin and elsewhere. He took 9th at Berlin 1891 (Horatio Caro won), took 4th at Dresden 1892 (the 7th DSB Congress, Hauptturnier A, Paul Lipke won), took 3rd at Kiel 1893 (the 8th DSBâ€“Congress, Hauptturnier A, Hugo SÃ?chting won), tied for 7-8th at Berlin 1893 (Simon Alapin won), tied for 3rd-5th at Leipzig 1894 (the 9th DSBâ€“Congress, Hauptturnier A, Norman van Lennep won). He took 2nd, behind Caro, and tied for 5-6th (Theodor von Scheve won), both in Berlin in 1894; took 13th at Munich 1900 (the 12th DSBâ€“Congress, Hauptturnier A, Rudolf Swiderski won), shared 2nd, behind Ossip Bernstein, at Berlin 1902; tied for 3rd-4t at Coburg 1904 (the 12th DSBâ€“Congress, Hauptturnier B, Hans Fahrni won). Lewitt won ahead of Rudolf Spielmann at Berlin 1904, shared 1st with Caro in the Berlin Championship in 1905 but lost a play-off match to him (+3 â€“4 =5), and tied for 7-8th at Berlin 1913 (Erich Cohn won). \n*  Chess games of Moritz Lewitt",Agent,Athlete,ChessPlayer
"Davis v. Ayala, 576 U.S. ___ (2015) was a case in which the Supreme Court of the United States upheld a death sentence of a Hispanic defendant despite the fact that all Blacks and Hispanics were rejected from the jury during the defendant's trial. The case involved a habeas corpus petition submitted by Hector Ayala, who was arrested and tried in the late 1980s for the alleged murder of three individuals during an attempted robbery of an automobile body shop in San Diego, California in April 1985. At trial, the prosecution used peremptory challenges to strike all Black and Hispanic jurors who were available for jury service. The trial court judge allowed the prosecution to explain the basis for the peremptory challenges outside the presence of Ayala's counsel, \""so as not to disclose trial strategy\"". Ayala was ultimately sentenced to death, but he filed several appeals challenging the constitutionality of the trial court's decision to exclude his counsel from the hearings. In a 5â€“4 opinion written by Justice Samuel Alito, the Supreme Court held that even if the trial court committed error, the error was harmless and that Ayala did not suffer any actual prejudice. Justice Sonia Sotomayor wrote a dissenting opinion in which she argued that Ayala's sentence should be reversed because the exclusion of Ayala's counsel from the hearings \""substantially influenced the outcome\"" of the case. Additionally, Justice Anthony Kennedy wrote a separate concurring opinion in which he questioned the propriety of Ayala's placement in solitary confinement. In response, Justice Clarence Thomas wrote a one-paragraph concurring opinion in which he stated that Ayala's accommodations were \""far sight more spacious than those in which his victims ... now rest\"". Commentators have described the case as \""important\"" and note that will likely have a \""significant effect\"" on similar cases in the future. However, some analysts have described the outcome as \""particularly unjust\"". Justice Kennedy's concurring opinion also received significant coverage from the media, and some analysts suggested that solitary confinement may become a \""new battleground\"" for Justice Kennedy. One commentator described Justice Kennedy's concurring opinion as \""the single most surprising and heartening development of the term\"".",UnitOfWork,LegalCase,SupremeCourtOfTheUnitedStatesCase
"Ahora Madrid (Spanish for Now Madrid) is a citizen platform of popular unity, formed as an instrumental party without organic internal life, in order to stand for the municipal elections of 2015 in the city of Madrid. For this project, Ganemos Madrid, a citizen platform inspired by Guanyem Barcelona (now called Barcelona en ComÃº) and the parties Equo, Podemos and PUM+J joined forces.",Agent,Organisation,PoliticalParty
"San Joaquin Regional Transit District (known as \""San Joaquin RTD\"" or simply as RTD) is a transit district that provides bus service to the city of Stockton, California and the surrounding communities of Lodi, Ripon, Thornton, French Camp, Lathrop, Manteca, and Tracy.San Joaquin RTD operates 36 fixed routes to the Stockton metropolitan area, including 2 Metro Express routes, RTDâ€™s Bus Rapid Transit service. RTD currently contracts with MV Transportation for the operations of 14 RTD Interregional Commuter routes that serve Sacramento, the Bay Area, and Dublin/Pleasantonâ€™s BART station, with subscription service available for commuters. In addition, MV operates five RTD deviated fixed routes that are served by Metro Hopper buses connecting Ripon, Manteca, Lathrop, Thornton, Woodbridge, French Camp, Morada, and Linden to Stockton, Tracy, and Lodi. MV also operates two RTD Intercity routes connecting Stockton with Lodi, Tracy, and Manteca. Total annual ridership for calendar year 2008 was 5 million trips, and Interregional ridership for fiscal year 2008 totaled 328,476 trips.",Agent,Organisation,PublicTransitSystem
Nikola Stojcevski (Macedonian: ?ù?¸?º???»?° ?¡Ñ‚??Ñ˜Ñ‡?µ??ÑÅ?º?¸; born 9 August 1984) is a Macedonian handball player who plays for HK Drott.,Agent,Athlete,HandballPlayer
"The Roman Catholic Archdiocese of Cusco (Latin: Cuschen(sis)) is a Latin Metropolitan archdiocese with see in the city and old Inca imperial capital of Cusco, in Peru. Its Cathedral archiepiscopal see is the Cathedral of Santo Domingo, Cusco, dedicated to Saint Dominic. It also has a Marian Minor basilica: BasÃ?lica Nuestra SeÃ±ora de las Mercedes",Place,ClericalAdministrativeRegion,Diocese
"Roy Hinson (born May 2, 1961) is a retired American professional basketball player who was selected by the Cleveland Cavaliers in the first round (20th overall) of the 1983 NBA Draft. Hinson attended Franklin High School in Franklin Township, New Jersey. He then played his college career at Rutgers University in nearby New Brunswick. A 6'9\"" forwardâ€“center, Hinson played in eight NBA seasons from 1983 to 1991, for the Cavaliers, Philadelphia 76ers and New Jersey Nets. Hinson's best year as a professional came during the 1985â€“86 season as a member of the Cavaliers, appearing in 82 games and averaging 19.6 points per game. He also participated in the 1986 NBA Slam Dunk Contest, finishing seventh out of eight contestants. In his NBA career, Hinson played in 507 games and scored a total of 7,206 points.",Agent,Athlete,BasketballPlayer
"\""I'm the Urban Spaceman\"" was the Bonzo Dog Doo-Dah Band's most successful single, released in 1968. It reached #5 in the UK charts. The song was written by Neil Innes and produced by Paul McCartney and Gus Dudgeon under the pseudonym \""Apollo C. Vermouth\"". The B-side was written by Vivian Stanshall. Innes won an Ivor Novello Award in 1968 for writing \""I'm the Urban Spaceman\"". A well-known staging of the song involves Innes performing solo while a female tap dancer performs an enthusiastic but apparently under-rehearsed routine around him. This skit originally appeared in a 1975 edition of Rutland Weekend Television, with Lyn Ashley as the dancer, and was more famously revived in the 1982 film Monty Python Live at the Hollywood Bowl with Carol Cleveland taking over the role. Leeds indie rock band Cud performed an extremely fast version (1:07 long) for a 1989 Peel Session. The recording appears on their albums Elvis Belt and BB Cudn't C.",Work,MusicalWork,Single
"Saint Gorgonius of Nicomedia was a Christian martyr, part of the group Gorgonius, Peter Cubicularius and Dorotheus, who died in 304 AD at Nicomedia during the persecution of Emperor Diocletian. According to Lactantius and Eusebius, Gorgonius held a high position in the household of the emperor. When the persecution began he was consequently among the first to be charged, and with his companions, Peter, Dorotheus and several others, brutally tortured to death. According to one version of the legend, Diocletian, wishing to expose Christians in his household, ordered everyone to pay honor to the Roman gods; if they refused, they would be exposed as Christians. The first to be exposed was Diocletian's butler, Peter, surnamed Cubicularius (\""valet, chamberlain\""), who was strung up, his flesh torn from his bones. Two Christians, Dorotheus, an imperial chamberlain, and Gorgonius, an army officer, protested this treatment, and were also martyred, together with another official, named Migdonius. In the meantime, Peter was boiled or burned alive, or â€œroasted on a gridiron.â€ù Diocletian, determined that their bodies should not receive the honors which the early Christians gave the relics of the martyrs, ordered them to be thrown into the sea. The Christians nevertheless obtained possession of them and later the body of Gorgonius was carried to Rome.",Agent,Cleric,Saint
"Michael L. Marlow is a professor of economics at California Polytechnic State University (Cal Poly). He is also an affiliated senior scholar at the Mercatus Center at George Mason University. He holds a BA from George Washington University and a PhD from Virginia Tech, both in economics. He joined the California Polytechnic State University faculty in 1988 and was named a University Distinguished Scholar by the university in 2007. Prior to joining Cal Poly, he was an associate professor of economics at George Washington University from 1979 to 1983, and also worked as a senior financial economist at the U.S. Treasury from 1983 to 1988. He is known for opposing government regulation of e-cigarettes and of unhealthy foods and beverages. He has also argued that alcohol taxes primarily reduce consumption by light drinkers, not by heavy drinkers, and has criticized Proposition 65 for being ineffective with respect to public health benefits. His research into the effects of smoking laws has been criticized for being funded by Philip Morris, and for methodological flaws.",Agent,Person,Economist
Sinopoda scurion is the first eyeless huntsman spider to be discovered. It was discovered in 2012 in a Laotian cave. It has a leg span of about 6 centimetres (2.4 in) and a body span of about 12 millimetres (0.47 in). The ability of vision is absent in these huntsman spiders due to their prevalence in dark caves and it has no requirement of vision for hunting.,Species,Animal,Arachnid
"Transportes Charter do Brasil (TCB) is a cargo airline based in SÃ£o Paulo, Brazil. It was established in 1994 and operates charter cargo services throughout the Americas. Its main base is Viracopos International Airport, SÃ£o Paulo.",Agent,Company,Airline
"Morris Raphael Cohen (Belarusian: ?œ??Ñ€Ñ‹ÑÅ ? ?°Ñ„?°Ñç?»ÑŒ ????Ñç??; July 25, 1880 â€“ January 28, 1947) was an American philosopher, lawyer, and legal scholar who united pragmatism with logical positivism and linguistic analysis. He was father to Felix S. Cohen and Leonora Cohen Rosenfield.",Agent,Person,Philosopher
Louisa Smits is a former Belgian racing cyclist. She won the Belgian national road race title in 1965.,Agent,Athlete,Cyclist
